<UNK> 1.0	SPN
<SIL> 1.0	SIL
TRỞ 1.0	TR OW
NÊN 1.0	N EE NZ
THỤ 1.0	TH U
ĐỘNG 1.0	DD OO NGZ
CŨNG 1.0	K U NGZ
KHIẾN 1.0	KH IE NZ
CHO 1.0	CH O
HỌ 1.0	H O
DÈ 1.0	D E
DẶT 1.0	D AW TC
CHỊ 1.0	CH I
GẶN 1.0	G AW NZ
HỎI 1.0	H O IZ
ANH 1.0	A NGZ
THỀ 1.0	TH EE
SỐNG 1.0	S OO NGZ
CHẾT 1.0	CH EE TC
LÀ 1.0	L A
KHÔNG 1.0	KH OO NGZ
CÓ 1.0	K O
ĐIỆN 1.0	DD IE NZ
THOẠI 1.0	TH W A IZ
RENG 1.0	R E NGZ
NHƯNG 1.0	NH UW NGZ
TA 1.0	T A
PHẢI 1.0	PH A IZ
NHẤC 1.0	NH AA KC
MÁY 1.0	M A IZ
ĐÚNG 1.0	DD U NGZ
THUỘC 1.0	TH UO KC
LOẠI 1.0	L W A IZ
DÀY 1.0	D A IZ
ĐẶC 1.0	DD AW KC
NHẤT 1.0	NH AA TC
TRONG 1.0	TR O NGZ
HỆ 1.0	H EE
MẶT 1.0	M AW TC
TRỜI 1.0	TR OW IZ
CÁC 1.0	K A KC
VỤ 1.0	V U
THAM 1.0	TH A MZ
NHŨNG 1.0	NH U NGZ
VÀ 1.0	V A
BÊ 1.0	B EE
BỐI 1.0	B OO IZ
KINH 1.0	K I NGZ
TẾ 1.0	T EE
CHÚNG 1.0	CH U NGZ
CỨ 1.0	K UW
CỐ 1.0	K OO
LÙI 1.0	L U IZ
LẠI 1.0	L A IZ
MẶC 1.0	M AW KC
DÙ 1.0	D U
VƯỚNG 1.0	V WA NGZ
VÍU 1.0	V I UZ
GÔNG 1.0	G OO NGZ
XIỀNG 1.0	S IE NGZ
BỌN 1.0	B O NZ
BUÔN 1.0	B UO NZ
DỰ 1.0	D UW
ÁN 1.0	A NZ
CHẠY 1.0	CH A IZ
CHỌT 1.0	CH O TC
BÀY 1.0	B A IZ
RA 1.0	R A
ĐỂ 1.0	DD EE
KIẾM 1.0	K IE MZ
CHÁC 1.0	CH A KC
TẤT 1.0	T AA TC
CẢ 1.0	K A
MỌI 1.0	M O IZ
THỨ 1.0	TH UW
ĐỀU 1.0	DD EE UZ
KỲ 1.0	K I
LẠ 1.0	L A
MỘT 1.0	M OO TC
CÁCH 1.0	K A KC
PHI 1.0	PH I
THƯỜNG 1.0	TH WA NGZ
CHƯƠNG 1.0	CH WA NGZ
TRÌNH 1.0	TR I NGZ
CA 1.0	K A
NHẠC 1.0	NH A KC
PHẦN 1.0	PH AA NZ
LỚN 1.0	L OW NZ
ĐỘT 1.0	DD OO TC
PHÁ 1.0	PH A
RỒI 1.0	R OO IZ
SANG 1.0	S A NGZ
GÕ 1.0	G O
CỬA 1.0	K WA
PHÒNG 1.0	PH O NGZ
BA 1.0	B A
LE 1.0	L E
HAI 1.0	H A IZ
DẤM 1.0	D AA MZ
DÚI 1.0	D U IZ
TRẢ 1.0	TR A
ĐẠI 1.0	DD A IZ
DƯƠNG 1.0	D WA NGZ
NÀNG 1.0	N A NGZ
ĐÔI 1.0	DD OO IZ
MẮT 1.0	M AW TC
TO 1.0	T O
SÂU 1.0	S AA UZ
VẦNG 1.0	V AA NGZ
TRÁN 1.0	TR A NZ
RỘNG 1.0	R OO NGZ
MÊNH 1.0	M EE NGZ
MÔNG 1.0	M OO NGZ
TÔI 1.0	T OO IZ
TỰ 1.0	T UW
CHĂNG 1.0	CH AW NGZ
ĐÓ 1.0	DD O
DO 1.0	D O
DAN 1.0	D A NZ
CÒN 1.0	K O NZ
QUÁ 1.0	K W A
TRẺ 1.0	TR E
ỦY 1.0	W I
BAN 1.0	B A NZ
CHÂU 1.0	CH AA UZ
ÂU 1.0	AA UZ
KÊU 1.0	K EE UZ
GỌI 1.0	G O IZ
NHỮNG 1.0	NH UW NGZ
QUỐC 1.0	K W OO KC
GIA 1.0	D A
PHÁT 1.0	PH A TC
TRIỂN 1.0	TR IE NZ
KHI 1.0	KH I
SAO 1.0	S A UZ
NHÃNG 1.0	NH A NGZ
CÔNG 1.0	K OO NGZ
VIỆC 1.0	V IE KC
CỦA 1.0	K W A
MÌNH 1.0	M I NGZ
THỂ 1.0	TH EE
LÀNH 1.0	L A NGZ
LẶN 1.0	L AW NZ
MÀ 1.0	M A
VẾT 1.0	V EE TC
SẸO 1.0	S E UZ
MUỐN 1.0	M UO NZ
ĐẸP 1.0	DD E PC
GHÈ 1.0	G E
LÀM 1.0	L A MZ
BÓ 1.0	B O
CƠ 1.0	K OW
CHÂN 1.0	CH AA NZ
NỔI 1.0	N OO IZ
BẬT 1.0	B AA TC
LÊN 1.0	L EE NZ
Y 1.0	I
BÌNH 1.0	B I NGZ
HƯNG 1.0	H UW NGZ
HÒA 1.0	H W A
BỊ 1.0	B I
HƯ 1.0	H UW
HỎNG 1.0	H O NGZ
CÔ 1.0	K OO
NHÈ 1.0	NH E
NGAY 1.0	NG A IZ
CÁI 1.0	K A IZ
NỌNG 1.0	N O NGZ
CÁ 1.0	K A
TRÊ 1.0	TR EE
NẾU 1.0	N EE UZ
TƯỞNG 1.0	T WA NGZ
TƯỢNG 1.0	T WA NGZ
BẢY 1.0	B A IZ
TÁM 1.0	T A MZ
NĂM 1.0	N AW MZ
NỮA 1.0	N WA
ÔNG 1.0	OO NGZ
CHỦ 1.0	CH U
TỊCH 1.0	T I KC
TUYÊN 1.0	T W IE NZ
BỐ 1.0	B OO
NHƯ 1.0	NH UW
THẾ 1.0	TH EE
NÀO 1.0	N A UZ
CHA 1.0	CH A
CON 1.0	K O NZ
CẬU 1.0	K AA UZ
MỖI 1.0	M OO IZ
XE 1.0	S E
RÁC 1.0	R A KC
ĐI 1.0	DD I
NGANG 1.0	NG A NGZ
QUA 1.0	K W A
ĐÁNH 1.0	DD A NGZ
KẺNG 1.0	K E NGZ
MỚI 1.0	M OW IZ
ĐEM 1.0	DD E MZ
ĐỔ 1.0	DD OO
THAY 1.0	TH A IZ
VÌ 1.0	V I
BỐN 1.0	B OO NZ
GIỜ 1.0	D OW
